"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SYNJ11",1.29899421683527e-46,0.478752737058227,0.123,0.507,2.34923104114659e-42,"8","SYNJ1"
"CXorf40A1",1.30408147756784e-46,0.269528900620203,0.111,0.484,2.35843135218143e-42,"8","CXorf40A"
"MOSPD31",1.32629520606332e-46,0.471343519168923,0.162,0.586,2.39860488016552e-42,"8","MOSPD3"
"LRRC28",1.35544514246433e-46,0.781959198107654,0.136,0.536,2.45132254014675e-42,"8","LRRC28"
"HIST1H3G2",1.36130407710838e-46,0.447335392947172,0.101,0.466,2.4619184234505e-42,"8","HIST1H3G"
"ASB6",1.41023061811039e-46,0.653453517517113,0.136,0.536,2.55040207285263e-42,"8","ASB6"
"MEGF81",1.42203028726484e-46,0.50813650113841,0.135,0.532,2.57174177451846e-42,"8","MEGF8"
"MAP3K92",1.52775824529605e-46,0.805770628466014,0.128,0.52,2.7629507866179e-42,"8","MAP3K9"
"C9orf85",1.67183327569859e-46,0.559793633082409,0.158,0.581,3.0235104791009e-42,"8","C9orf85"
"ZNF5192",1.69556478938516e-46,0.514066870231085,0.222,0.71,3.06642892160307e-42,"8","ZNF519"
"RBM43",1.93348444647117e-46,0.64043095810247,0.155,0.572,3.49670662144312e-42,"8","RBM43"
"MTFR1L",2.25945958944259e-46,0.299178154066937,0.259,0.786,4.08623266750692e-42,"8","MTFR1L"
"F52",2.36054485820494e-46,0.292369683553712,0.108,0.472,4.26904537606364e-42,"8","F5"
"OAS1",2.45250268036364e-46,0.496321182358137,0.229,0.72,4.43535109743764e-42,"8","OAS1"
